Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
Tomas Satoransky,1,1,0,0,0,0,1,0,0,1,3,0,3.8,0.547,19.8,13.7,7.8,0
Nicolas Batum,0,1,1,0,0,0,0,0,1,0,22.434783,0,3.6,0.566,21.5,10.3,5.9,0
Kent Bazemore,0,1,1,0,0,0,0,1,0,0,16.910113,0,3.6,0.552,13.5,11.7,9.2,0
Tim Hardaway Jr.,0,1,1,0,0,0,0,0,1,0,16.5,0,3.6,0.527,23.3,12.1,7.6,0
Dwyane Wade,0,1,1,0,0,1,0,0,1,0,15.55,0,3.6,0.547,7.1,7.7,13.4,0
DJ Augustin,1,0,0,0,0,0,0,1,0,0,7.25,0,3.6,0.569,17.6,10.9,15.6,0
Delon Wright,1,1,0,0,0,0,1,0,0,1,1.6452,0,3.6,0.536,18.2,11.8,8.5,0
Fred VanVleet,1,1,0,0,0,1,0,0,1,0,1.312611,0,3.6,0.55,10.3,9.6,10.8,0
Robin Lopez,0,0,0,0,1,0,1,0,0,1,13.7885,0,3.5,0.568,15.7,10.9,12.3,0
Bogdan Bogdanovic,0,1,1,0,0,0,0,1,0,0,9.470614,0,3.5,0.61,9.1,14.4,21.4,0
Caris LeVert,0,1,1,0,0,0,0,1,0,0,1.63248,0,3.5,0.521,43.8,12.6,8.3,0
Lauri Markkanen,0,0,0,1,1,0,0,0,1,0,3.82164,0,3.4,0.627,11.5,8.3,15,0
Paul Millsap,0,0,1,1,0,0,0,1,0,0,31.269231,0,3.3,0.571,11.1,8.5,7.8,0
Brandon Ingram,0,1,1,1,0,0,0,1,0,0,5.5194,0,3.3,0.48,22.7,13,14.7,1
Bam Adebayo,0,0,0,1,1,0,0,0,1,0,2.49036,0,3.3,0.56,13.9,8.6,8.5,0
Kyle Kuzma,0,0,1,1,0,0,0,0,1,0,1.42356,0,3.3,0.65,29,13.8,14.5,0
Ed Davis,0,0,0,1,1,1,0,0,1,0,6.352531,0,3.1,0.577,14.1,8.4,4.1,0
Rajon Rondo,1,0,0,0,0,1,0,0,1,0,3.3,0,3.1,0.57,6.1,9,12.8,0
JaVale McGee,0,0,0,0,1,1,0,0,1,0,2.116955,0,3.1,0.61,22.4,14.9,18.7,0
Jeff Green,0,0,1,1,0,1,0,0,1,0,2.116955,0,3.1,0.544,9.6,7.4,5.9,0
Kentavious Caldwell-Pope,0,1,1,0,0,1,0,0,1,0,17.745894,0,3,0.554,10.2,10.7,9.1,0
Marco Belinelli,0,1,1,0,0,1,0,0,1,0,6.30606,0,3,0.613,13.5,6.6,4.9,0
Dejounte Murray,1,1,0,0,0,0,0,1,0,0,1.312611,0,3,0.488,26.4,12.8,7.8,0
Jordan Bell,0,0,0,1,1,0,1,0,0,1,0.815615,0,3,0.53,34.7,8.8,5.7,0
Serge Ibaka,0,0,0,1,1,0,0,1,0,0,20.061729,0,2.9,0.555,20.4,8.8,12.3,0
Zaza Pachulia,0,0,0,0,1,1,0,0,1,0,3.4776,0,2.9,0.563,13,10.8,9.1,0
Rodney Hood,0,1,1,0,0,1,0,0,1,0,2.386864,0,2.9,0.559,17,8.1,5.3,0
Jaylen Brown,0,1,1,0,0,0,0,1,0,0,4.95648,0,2.8,0.585,10.1,10.3,15,0
Kris Dunn,1,1,0,0,0,0,0,1,0,0,4.04676,0,2.7,0.647,14.3,16,19,0
Reggie Bullock,0,1,1,0,0,0,1,0,0,1,2.5,0,2.7,0.55,8.8,7.2,11.4,0
Jerian Grant,1,1,0,0,0,0,1,0,0,1,1.71384,0,2.7,0.553,16.1,7.9,6.7,0
Robert Covington,0,0,1,1,0,0,0,0,0,1,16.698103,0,2.6,0.628,11.4,8.9,15.2,0
Courtney Lee,0,1,1,0,0,0,0,1,0,0,11.74789,0,2.6,0.522,23.5,10.9,5.8,0
Marcus Morris,0,0,0,1,0,0,1,0,0,1,5,0,2.6,0.507,21.8,12.6,8.2,0
Tyler Zeller,0,0,0,0,1,0,1,0,0,1,1.709538,0,2.6,0.562,10.6,8.8,12.3,0
Salah Mejri,0,0,0,0,1,1,0,0,1,0,1.471382,0,2.6,0.547,18.3,11.2,6,0
